barcode	plateRow	plateColumn	numcells	Nuclei DAPI - Intensity Nucleus EGFP Mean - Median	Nuclei DAPI - Intensity Nucleus EGFP StdDev - StdDev	Nuclei DAPI - Intensity Nucleus EGFP Median - Median	Nuclei DAPI - Nucleus Area [µm²] - Sum	Nuclei DAPI - Nucleus Roundness - Sum	Nuclei DAPI - Nucleus DAPI SER Saddle 0 px - StdDev	Nuclei DAPI - Nucleus DAPI Haralick Homogeneity 1 px - Sum	Nuclei/Median_GFP	Number of Analyzed Fields	concenctration	treatment	hitscore	Nuclei DAPI - Nucleus DAPI SER Saddle 0 px - StdDev.bscore	Nuclei/Median_GFP.bscore
001AL100205B-KI_1_1	3	9	6929	1726.09219858	162.72518766	1740	1934661.58635	6522.57309862	0.00413591714465	3475.71344115	3.98218390805	9	10 uM	library	-4.65611661979425	-0.0279125342821781	-0.0151779368322788
001AL100205B-KI_1_1	3	10	7750	1739.84134385	154.454399178	1755	2099178.36051	7296.58243919	0.00418444759372	3852.06879328	4.41595441595	9	3.3 uM	library	-7.68243263828783	-0.00289616740776679	0.347097532151199
001AL100205B-KI_1_1	3	11	8194	1883.56256522	150.39606248	1900	2117114.81146	7725.23452748	0.00416561705951	4047.99085564	4.31263157895	9	10 uM	library	3.55999582323321	-0.00987066676457334	0.665255910618808
001AL100205B-KI_1_1	3	12	8629	2067.90522876	173.868069551	2085	2192679.33714	8135.92036161	0.00412208735984	4278.49179733	4.13860911271	9	3.3 uM	library	15.8570011444194	-0.0102866687296283	0.378961785598126
001AL100205B-KI_1_1	3	13	8396	1986.8136577	174.435574641	2000	2147635.97832	7936.74657038	0.00429389999406	4142.35104114	4.198	9	10 uM	library	4.90058670998934	-0.000934300913977804	0.0202074250977954
001AL100205B-KI_1_1	3	14	7702	1907.21467905	185.564055082	1923	1990515.9432	7258.65831322	0.0041170292965	3813.73038873	4.00520020801	9	3.3 uM	library	2.08039253224849	-0.0254280100315079	0.292165950560717
001AL100205B-KI_1_1	3	15	1708	2057.82971409	242.985812602	2091	903585.95658	1497.05171228	0.00446685050541	974.074268921	0.816834050693	9	10 uM	library	19.8595996799666	-0.00198481250139416	-4.52693035946257
001AL100205B-KI_1_1	3	16	6495	1824.4549763	172.954900284	1835	1776954.58674	6132.46738375	0.00443509465632	3097.30341859	3.53950953678	9	3.3 uM	library	-1.34858010538996	0.00879068983015369	-0.0516459988213391
001AL100205B-KI_1_1	3	17	8443	1878.53246753	147.391030922	1894	2133849.71157	7975.54121017	0.00466673343305	4142.57330843	4.45776135164	9	10 uM	library	-16.8380771926533	0.0337929045098687	1.40892386312678
001AL100205B-KI_1_1	3	18	8825	1898.75581395	156.259453952	1914	2231804.71284	8343.08354396	0.00416766253555	4325.85429931	4.61076280042	9	3.3 uM	library	-6.53038731129001	-0.0234259785365504	1.83189946743219
